warehouse_name,box_type,coefficient,delivery_base,delivery_liter,storage_base,storage_liter,date,dt_next_box,dt_till_max,created_at
Обухово,standard,0.0000,78.20,23.80,0.1200,0.1200,2025-10-23,,2025-10-24,2025-10-23 10:55:12.127311
Обухово СГТ,standard,0.0000,34.50,10.50,0.0500,0.0500,2025-10-23,,2025-10-24,2025-10-23 10:55:12.130098
Пенза,standard,0.0000,46.00,14.00,0.0700,0.0700,2025-10-23,,2025-10-24,2025-10-23 10:55:54.508545
Подольск,standard,0.0000,92.00,28.00,0.1200,0.1200,2025-10-23,,2025-10-24,2025-10-23 10:55:12.120876
Радумля СГТ,standard,0.0000,43.70,13.30,0.0700,0.0700,2025-10-23,,2025-10-24,2025-10-23 10:55:12.127934
Рязань (Тюшевское),standard,0.0000,55.20,16.80,0.1000,0.1000,2025-10-23,,2025-10-24,2025-10-23 10:55:12.128724
СПБ Шушары,standard,0.0000,101.20,30.80,0.1500,0.1500,2025-10-23,,2025-10-24,2025-10-23 10:55:54.502694
СЦ Ереван,standard,0.0000,96.60,29.40,0.1500,0.1500,2025-10-23,,2025-10-24,2025-10-23 10:55:54.513512
СЦ Тбилиси 3 Бонд,standard,0.0000,59.80,18.20,0.0000,0.0000,2025-10-23,,2025-10-24,2025-10-23 10:55:54.51872
Сабурово,standard,0.0000,59.80,18.20,0.0900,0.0900,2025-10-23,,2025-10-24,2025-10-23 10:55:12.131207
Самара (Новосемейкино),standard,0.0000,92.00,28.00,0.1400,0.1400,2025-10-23,,2025-10-24,2025-10-23 10:55:54.506614
Санкт-Петербург СГТ,standard,0.0000,48.30,14.70,0.0700,0.0700,2025-10-23,,2025-10-24,2025-10-23 10:55:54.502112
Санкт-Петербург Уткина Заводь,standard,0.0000,124.20,37.80,0.1400,0.1400,2025-10-23,,2025-10-24,2025-10-23 10:55:54.500089
Сарапул,standard,0.0000,96.60,29.40,0.1500,0.1500,2025-10-23,,2025-10-24,2025-10-23 10:55:54.50765
Софрино СГТ,standard,0.0000,43.70,13.30,0.0700,0.0700,2025-10-23,,2025-10-24,2025-10-23 10:55:54.498111
Софьино СГТ,standard,0.0000,43.70,13.30,0.0700,0.0700,2025-10-23,,2025-10-24,2025-10-23 10:55:54.499487
Ташкент,standard,0.0000,46.00,14.00,0.0700,0.0700,2025-10-23,,2025-10-24,2025-10-23 10:55:54.518378
Тула,standard,0.0000,69.00,21.00,0.0800,0.0800,2025-10-23,,2025-10-24,2025-10-23 10:55:12.122599
Хабаровск,standard,0.0000,101.20,30.80,0.1400,0.1400,2025-10-23,,2025-10-24,2025-10-23 10:55:54.512104
Цифровой склад,standard,0.0000,46.00,14.00,0.0700,0.0700,2025-10-23,,2025-10-24,2025-10-23 10:55:12.115277
Челябинск СГТ,standard,0.0000,46.00,14.00,0.0700,0.0700,2025-10-23,,2025-10-24,2025-10-23 10:55:54.510681
Чехов 1,standard,0.0000,94.30,28.70,0.1100,0.1100,2025-10-23,,2025-10-24,2025-10-23 10:55:12.123478
Чехов 2,standard,0.0000,94.30,28.70,0.1100,0.1100,2025-10-23,,2025-10-24,2025-10-23 10:55:12.124405
Щербинка,standard,0.0000,92.00,28.00,0.1400,0.1400,2025-10-23,,2025-10-24,2025-10-23 10:55:54.49759
Электросталь,standard,0.0000,73.60,22.40,0.0800,0.0800,2025-10-23,,2025-10-24,2025-10-23 10:55:12.121746
Ярославль СГТ,standard,0.0000,46.00,14.00,0.0700,0.0700,2025-10-23,,2025-10-24,2025-10-23 10:55:54.498575
